ParticipantID,List,Sentence,ItemNumber,TrialStartTime,RecordingStartTime,Shape1StartTime,Shape2StartTime,Shape3StartTime,PromptStartTime,TrialEndTime,SecondsToStripFromFrontOfRecording,WebmFileName,LiveInUSTillThirteen,NativeLangEng,Age,StateGrewUp,AuditoryIssues,RecordingsArchive,ResultsReceptionTime,TargetFiller,Quartet,ConditionShorthandID,WhPhrase,Subject,Verb,Type,Preposition,TargetNoun,SameSemanticCategoryNoun,UnrelatedNoun,RecordingFileName,UniqID,ListUniqID,Shape1,Shape2,FillerType,MatrixWh,SubjectNoun,DativeNoun,ExtraFillerNoun,Shape3,Participant,Transcription
0AlwqQZUa4MWQTHcIbdtOQ,2,Which book did you order for the chicken?,1,1625785623307,1625785627947,1625785627949,NA,NA,1625785629753,1625785633757,1.806,recorder.webm,Yes,Yes,30,MN,,52ad85d6-d239-2cca-1fef-b3ac6a0e43e3.zip,2021-07-08 23:22:41,target,34,c,non-target,pronoun,order,double object verb,for,chicken,rooster,book,3eef29bb2dfe4357cc6092a68e6b2b08.mp3,non-target_pronoun_34,2_c_ix,triangle.png,NA,NA,NA,NA,NA,NA,NA,1,
0AlwqQZUa4MWQTHcIbdtOQ,2,Why did you give a snack to the penguin and the zookeeper?,2,1625785633761,1625785639659,1625785639660,1625785641464,1625785643267,1625785645072,1625785648964,5.413,recorder-1.webm,Yes,Yes,30,MN,,52ad85d6-d239-2cca-1fef-b3ac6a0e43e3.zip,2021-07-08 23:22:41,Filler,49,NA,NA,NA,give,double object verb,to,NA,NA,NA,f0b6015ad1d7e8f396259e4506f0a40a.mp3,ConjunctionUnrelated_49,2_ConjunctionUnrelated_i,square.png,circle.png,ConjunctionUnrelated,why,walrus,penguin,zookeeper,star.png,1,
0AlwqQZUa4MWQTHcIbdtOQ,2,Which letter did you write to the hedgehog?,3,1625785648966,1625785653610,1625785653611,1625785655417,NA,1625785657223,1625785660633,3.613,recorder-2.webm,Yes,Yes,30,MN,,52ad85d6-d239-2cca-1fef-b3ac6a0e43e3.zip,2021-07-08 23:22:41,target,18,c,non-target,pronoun,write,double object verb,to,hedgehog,armadillo,letter,a16e4fb9074a4b949f5c36c97015eabd.mp3,non-target_pronoun_18,2_c_v,circle.png,rectangle.png,NA,NA,NA,NA,NA,NA,1,
0AlwqQZUa4MWQTHcIbdtOQ,2,Which chameleon did you save the seat for?,4,1625785660635,1625785665578,1625785665579,NA,NA,1625785667384,1625785671172,1.806,recorder-3.webm,Yes,Yes,30,MN,,52ad85d6-d239-2cca-1fef-b3ac6a0e43e3.zip,2021-07-08 23:22:41,target,36,d,target,pronoun,save,double object verb,for,chameleon,cat,seat,5c274f6410799851e831f4c9068f4d3c.mp3,target_pronoun_36,2_d_ix,star.png,NA,NA,NA,NA,NA,NA,NA,1,
0AlwqQZUa4MWQTHcIbdtOQ,2,Which goose did you transfer the contract to?,5,1625785671173,1625785676266,1625785676267,1625785678073,NA,1625785679877,1625785683871,3.611,recorder-4.webm,Yes,Yes,30,MN,,52ad85d6-d239-2cca-1fef-b3ac6a0e43e3.zip,2021-07-08 23:22:41,target,16,d,target,pronoun,transfer,double object verb,to,goose,turtle,contract,eb8ae259e57178ed7fbd2c62b8221a76.mp3,target_pronoun_16,2_d_iv,star.png,rectangle.png,NA,NA,NA,NA,NA,NA,1,
0AlwqQZUa4MWQTHcIbdtOQ,2,How did you deal the gambler's hand to the chicken?,6,1625785683873,1625785688938,1625785688939,1625785690745,1625785692551,1625785694355,1625785698558,5.417,recorder-5.webm,Yes,Yes,30,MN,,52ad85d6-d239-2cca-1fef-b3ac6a0e43e3.zip,2021-07-08 23:22:41,Filler,63,NA,NA,NA,deal,double object verb,to,NA,NA,NA,943f3c14c5e2b76b68227142ba761d1b.mp3,PossessorUnrelated_63,2_PossessorUnrelated_iv,oval.png,triangle.png,PossessorUnrelated,how,rooster,chicken,gambler,circle.png,1,
0AlwqQZUa4MWQTHcIbdtOQ,2,Which captain did the sailor catch the fish for?,7,1625785698560,1625785703721,1625785703722,NA,NA,1625785705527,1625785709472,1.806,recorder-6.webm,Yes,Yes,30,MN,,52ad85d6-d239-2cca-1fef-b3ac6a0e43e3.zip,2021-07-08 23:22:41,target,35,b,target,same semantic category,catch,double object verb,for,captain,sailor,fish,fb9cfdfc58e0b3b98e7a16904c9f0ef9.mp3,target_same-semantic-category_35,2_b_ix,star.png,NA,NA,NA,NA,NA,NA,NA,1,
0AlwqQZUa4MWQTHcIbdtOQ,2,Which barn did you show to the cow?,8,1625785709474,1625785713961,1625785713962,NA,NA,1625785715764,1625785720179,1.803,recorder-7.webm,Yes,Yes,30,MN,,52ad85d6-d239-2cca-1fef-b3ac6a0e43e3.zip,2021-07-08 23:22:41,target,10,c,non-target,pronoun,show,double object verb,to,cow,pig,barn,54c5343195ac60f053f4d7e53f2e4bf0.mp3,non-target_pronoun_10,2_c_iii,circle.png,NA,NA,NA,NA,NA,NA,NA,1,
0AlwqQZUa4MWQTHcIbdtOQ,2,How did you mail the box to the philanthropist and the weatherman?,9,1625785720182,1625785726504,1625785726505,1625785728310,1625785730117,1625785731921,1625785736829,5.417,recorder-8.webm,Yes,Yes,30,MN,,52ad85d6-d239-2cca-1fef-b3ac6a0e43e3.zip,2021-07-08 23:22:41,Filler,70,NA,NA,NA,mail,double object verb,to,NA,NA,NA,788ede29b68abaffea2850fe0cf9c270.mp3,ConjunctionRelated_70,2_ConjunctionRelated_vi,star.png,rectangle.png,ConjunctionRelated,how,musician,philanthropist,weatherman,oval.png,1,
0AlwqQZUa4MWQTHcIbdtOQ,2,Which penguin did you build the nest for?,10,1625785736833,1625785741607,1625785741609,1625785743413,NA,1625785745219,1625785748547,3.612,recorder-9.webm,Yes,Yes,30,MN,,52ad85d6-d239-2cca-1fef-b3ac6a0e43e3.zip,2021-07-08 23:22:41,target,48,d,target,pronoun,build,double object verb,for,penguin,walrus,nest,8923664fbe44fa3e6b24b9cb9341650a.mp3,target_pronoun_48,2_d_xii,rectangle.png,square.png,NA,NA,NA,NA,NA,NA,1,
0AlwqQZUa4MWQTHcIbdtOQ,2,Which piece did the mom cut for the baby?,11,1625785748548,1625785753447,1625785753448,1625785755253,NA,1625785757057,1625785760836,3.61,recorder-10.webm,Yes,Yes,30,MN,,52ad85d6-d239-2cca-1fef-b3ac6a0e43e3.zip,2021-07-08 23:22:41,target,29,a,non-target,same semantic category,cut,double object verb,for,baby,mom,piece,0aa0ce5631006a30c8fc918e0333a6d6.mp3,non-target_same-semantic-category_29,2_a_viii,oval.png,circle.png,NA,NA,NA,NA,NA,NA,1,
0AlwqQZUa4MWQTHcIbdtOQ,2,Which tiger did you teach the trick to?,12,1625785760838,1625785765479,1625785765480,1625785767286,NA,1625785769089,1625785772342,3.61,recorder-11.webm,Yes,Yes,30,MN,,52ad85d6-d239-2cca-1fef-b3ac6a0e43e3.zip,2021-07-08 23:22:41,target,4,d,target,pronoun,teach,double object verb,to,tiger,lion,trick,ae8cf5438f1f890bf26224957ea698aa.mp3,target_pronoun_4,2_d_i,star.png,square.png,NA,NA,NA,NA,NA,NA,1,
0AlwqQZUa4MWQTHcIbdtOQ,2,How did you sell the accountant's car to the owl?,13,1625785772344,1625785777446,1625785777448,1625785779252,1625785781055,1625785782861,1625785787261,5.415,recorder-12.webm,Yes,Yes,30,MN,,52ad85d6-d239-2cca-1fef-b3ac6a0e43e3.zip,2021-07-08 23:22:41,Filler,59,NA,NA,NA,sell,double object verb,to,NA,NA,NA,aa1f4be52208f00c8cd42fb37a3b7c65.mp3,PossessorUnrelated_59,2_PossessorUnrelated_iii,rectangle.png,oval.png,PossessorUnrelated,how,bird,owl,accountant,star.png,1,
0AlwqQZUa4MWQTHcIbdtOQ,2,Which box did you mail to the caterpillar?,14,1625785787263,1625785792102,1625785792104,NA,NA,1625785793908,1625785797394,1.806,recorder-13.webm,Yes,Yes,30,MN,,52ad85d6-d239-2cca-1fef-b3ac6a0e43e3.zip,2021-07-08 23:22:41,target,22,c,non-target,pronoun,mail,double object verb,to,caterpillar,worm,box,b9379cc8567a2930a903cb2740db9d85.mp3,non-target_pronoun_22,2_c_vi,oval.png,NA,NA,NA,NA,NA,NA,NA,1,
0AlwqQZUa4MWQTHcIbdtOQ,2,How did you serve the cake to the guest and the owner?,15,1625785797397,1625785803046,1625785803046,1625785804852,1625785806658,1625785808463,1625785812195,5.417,recorder-14.webm,Yes,Yes,30,MN,,52ad85d6-d239-2cca-1fef-b3ac6a0e43e3.zip,2021-07-08 23:22:41,Filler,50,NA,NA,NA,serve,double object verb,to,NA,NA,NA,1653cc1f6bb0524503e7e8f6cfa28078.mp3,ConjunctionRelated_50,2_ConjunctionRelated_i,circle.png,oval.png,ConjunctionRelated,how,host,guest,owner,triangle.png,1,
0AlwqQZUa4MWQTHcIbdtOQ,2,Which snack did you pass to the otter?,16,1625785812198,1625785816805,1625785816806,NA,NA,1625785818612,1625785822259,1.807,recorder-15.webm,Yes,Yes,30,MN,,52ad85d6-d239-2cca-1fef-b3ac6a0e43e3.zip,2021-07-08 23:22:41,target,14,c,non-target,pronoun,pass,double object verb,to,otter,frog,snack,32809b28a19b27ded8dd9a69d3874552.mp3,non-target_pronoun_14,2_c_iv,circle.png,NA,NA,NA,NA,NA,NA,NA,1,
0AlwqQZUa4MWQTHcIbdtOQ,2,Which donkey did you hand the toy to?,17,1625785822260,1625785826917,1625785826918,1625785828721,NA,1625785830527,1625785833510,3.61,recorder-16.webm,Yes,Yes,30,MN,,52ad85d6-d239-2cca-1fef-b3ac6a0e43e3.zip,2021-07-08 23:22:41,target,24,d,target,pronoun,hand,double object verb,to,donkey,rabbit,toy,ee2ba1230f8ab945df5fdcab12d79740.mp3,target_pronoun_24,2_d_vi,oval.png,triangle.png,NA,NA,NA,NA,NA,NA,1,
0AlwqQZUa4MWQTHcIbdtOQ,2,Why did you prescribe the antidote to the chameleon and the dean?,18,1625785833512,1625785839844,1625785839844,1625785841647,1625785843454,1625785845258,1625785849263,5.414,recorder-17.webm,Yes,Yes,30,MN,,52ad85d6-d239-2cca-1fef-b3ac6a0e43e3.zip,2021-07-08 23:22:41,Filler,61,NA,NA,NA,prescribe,double object verb,to,NA,NA,NA,88f2ef5cdcd4d3b0f639663cfbf9c61a.mp3,ConjunctionUnrelated_61,2_ConjunctionUnrelated_iv,square.png,circle.png,ConjunctionUnrelated,why,cat,chameleon,dean,triangle.png,1,
0AlwqQZUa4MWQTHcIbdtOQ,2,Which chipmunk did you read the story to?,19,1625785849266,1625785854116,1625785854116,NA,NA,1625785855921,1625785860249,1.805,recorder-18.webm,Yes,Yes,30,MN,,52ad85d6-d239-2cca-1fef-b3ac6a0e43e3.zip,2021-07-08 23:22:41,target,20,d,target,pronoun,read,double object verb,to,chipmunk,raccoon,story,425ed4348212cfa101de6b0814e7320a.mp3,target_pronoun_20,2_d_v,star.png,NA,NA,NA,NA,NA,NA,NA,1,
0AlwqQZUa4MWQTHcIbdtOQ,2,Which teacher did the carpenter cook the meal for?,20,1625785860250,1625785865443,1625785865444,1625785867252,NA,1625785869056,1625785873547,3.613,recorder-19.webm,Yes,Yes,30,MN,,52ad85d6-d239-2cca-1fef-b3ac6a0e43e3.zip,2021-07-08 23:22:41,target,39,b,target,same semantic category,cook,double object verb,for,teacher,carpenter,meal,a712cda6ab7dca53270925031d1b9dac.mp3,target_same-semantic-category_39,2_b_x,square.png,star.png,NA,NA,NA,NA,NA,NA,1,
0AlwqQZUa4MWQTHcIbdtOQ,2,Which favor did the owner do for the customer?,21,1625785873548,1625785878627,1625785878628,NA,NA,1625785880431,1625785883737,1.804,recorder-20.webm,Yes,Yes,30,MN,,52ad85d6-d239-2cca-1fef-b3ac6a0e43e3.zip,2021-07-08 23:22:41,target,33,a,non-target,same semantic category,do,double object verb,for,customer,owner,favor,48f79094096d17421b5f7994ae248db1.mp3,non-target_same-semantic-category_33,2_a_ix,rectangle.png,NA,NA,NA,NA,NA,NA,NA,1,
0AlwqQZUa4MWQTHcIbdtOQ,2,Why did you offer the contractor's promotion to the employee?,22,1625785883738,1625785889379,1625785889379,1625785891185,1625785892992,1625785894797,1625785898854,5.418,recorder-21.webm,Yes,Yes,30,MN,,52ad85d6-d239-2cca-1fef-b3ac6a0e43e3.zip,2021-07-08 23:22:41,Filler,56,NA,NA,NA,offer,double object verb,to,NA,NA,NA,fc214fa528ec12627744004f91a350b6.mp3,PossessorRelated_56,2_PossessorRelated_ii,circle.png,rectangle.png,PossessorRelated,why,boss,employee,contractor,star.png,1,
